skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
133.923441 128.753528 104.757212 28 28 31 31.272727 129.833333 129.181818 129.613313 129.613313 132.744460 42 49 55 11 19 29 70 75 80 
140.291981 128.021437 111.063921 52 42 34 50.075758 127.787879 122.196970 127.831854 127.831854 127.190925 52 51 50 21 22 23 77 76 76 
113.751202 129.662848 112.772046 44 51 59 56.650794 130.015873 133.746032 128.944135 128.944135 123.110700 48 60 68 79 88 93 121 120 120 
140.490805 128.485540 112.235525 36 32 33 46.362500 129.900000 127.350000 129.588787 129.588787 131.344449 14 20 28 48 54 60 73 79 85 
135.490500 123.714944 110.846558 39 31 30 44.982456 130.543860 123.070175 133.833968 133.833968 132.306003 9 13 29 39 42 54 66 70 80 
141.400528 128.135900 114.671429 56 40 30 35.370370 128.351852 116.888889 127.674569 127.674569 124.080011 50 45 41 15 14 14 77 74 72 
146.801337 129.841069 112.531901 68 55 40 72.578947 125.035088 123.596491 125.839417 125.839417 122.577818 51 50 50 114 104 83 18 19 24 
150.136674 126.495763 112.014985 98 79 49 83.443182 123.897727 120.727273 127.631588 127.631588 123.709951 31 26 22 57 52 47 89 91 90 
119.944130 125.806368 109.181448 51 42 38 70.490000 128.370000 123.980000 130.088622 130.088622 131.656336 26 30 37 59 63 66 87 91 92 
142.166298 126.381777 114.400559 55 56 51 74.075758 124.742424 126.727273 126.528402 126.528402 124.475352 38 34 27 63 59 52 98 95 90 
153.153401 129.045528 115.063887 116 116 116 113.936508 128.142857 128.571429 127.400517 127.400517 124.449391 40 39 39 75 70 65 101 97 93 
144.711636 126.758198 113.284200 59 60 59 69.136364 126.969697 128.378788 128.259461 128.259461 127.654689 33 34 36 63 62 61 6 87 87 
142.412515 127.300093 114.041965 36 30 29 30.696970 129.196970 124.666667 128.559661 128.559661 128.015629 31 32 35 66 67 68 97 98 100 
