skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
133.923441 128.753528 104.757212 28 28 31 31.272727 129.833333 129.181818 51.541757 129.505416 132.133484 42 49 55 11 19 29 68 75 80 
140.291981 128.021437 111.063921 52 42 34 50.075758 127.787879 122.196970 52.054663 127.822466 126.740451 52 51 50 21 22 23 78 77 77 
113.751202 129.662848 112.772046 44 51 59 56.650794 130.015873 133.746032 85.174830 128.944135 123.110700 48 60 68 79 88 93 121 120 120 
140.490805 128.485540 112.235525 36 32 33 46.362500 129.900000 127.350000 41.718544 129.508315 130.985021 14 20 28 48 54 60 82 88 93 
135.490500 123.714944 110.846558 39 31 30 44.982456 130.543860 123.070175 34.728141 133.713583 132.216969 9 13 29 39 42 54 75 78 84 
141.400528 128.135900 114.671429 56 40 30 35.370370 128.351852 116.888889 51.965619 127.699445 123.930091 50 45 41 75 70 66 15 14 14 
146.801337 129.841069 112.531901 68 55 40 72.578947 125.035088 123.596491 85.061506 125.839417 122.577818 51 50 50 114 104 83 18 19 24 
150.136674 126.495763 112.014985 98 79 49 83.443182 123.897727 120.727273 33.797720 127.590012 123.597425 31 26 22 57 52 47 85 86 86 
119.944130 125.806368 109.181448 51 42 38 70.490000 128.370000 123.980000 36.412977 129.969994 131.251177 26 30 37 72 76 79 100 102 104 
142.166298 126.381777 114.400559 55 56 51 74.075758 124.742424 126.727273 41.012075 126.483937 124.384431 38 34 27 63 59 52 89 87 80 
153.153401 129.045528 115.063887 116 116 116 113.936508 128.142857 128.571429 69.608071 127.428764 124.414980 40 39 39 75 70 65 101 97 93 
144.711636 126.758198 113.284200 59 60 59 69.136364 126.969697 128.378788 50.806976 128.119183 126.842908 33 34 36 63 62 61 93 94 94 
142.412515 127.300093 114.041965 36 30 29 30.696970 129.196970 124.666667 40.324564 128.508200 127.532198 31 32 35 66 67 68 99 100 101 
