skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
174.974319 125.339476 110.918871 75 58 54 68.894737 129.815789 117.342105 129.125984 129.125984 131.171552 39 43 47 6 9 17 66 69 73 
175.559274 127.331923 109.878298 62 43 40 74.333333 132.745098 117.470588 129.457618 129.457618 127.480794 47 43 43 6 9 17 74 70 70 
162.513137 128.526988 109.411374 37 34 37 58.380952 130.571429 126.392857 128.137456 128.137456 131.379425 24 32 35 50 58 61 76 84 86 
176.466552 126.413404 108.656202 52 41 43 47.723684 131.934211 122.684211 130.670072 130.670072 131.130430 22 26 34 49 52 60 79 82 86 
173.520636 127.893969 111.919884 52 45 49 47.197368 131.644737 123.447368 128.691732 128.691732 129.354319 30 34 38 56 60 64 82 90 90 
167.467042 126.457580 111.529707 69 57 53 75.315789 130.894737 119.697368 128.493902 128.493902 130.295137 27 30 34 53 57 61 80 88 88 
179.127802 129.032553 110.920832 57 42 38 41.807018 130.859649 118.631579 128.629578 128.629578 130.279820 8 11 15 34 38 42 61 65 67 
145.960726 129.438782 105.096707 60 45 41 56.337500 131.387500 118.500000 129.504298 129.504298 131.740364 0 11 17 38 41 45 64 68 71 
140.363039 129.175903 107.391014 58 45 41 51.394737 130.394737 120.157895 129.202354 129.202354 126.799227 30 34 38 60 64 68 90 94 98 
149.321947 127.458606 109.292209 45 41 45 70.026316 131.223684 128.039474 128.571658 128.571658 124.837747 41 38 38 68 64 64 105 103 101 
144.598092 129.272057 105.388470 39 34 38 58.187500 131.325000 127.287500 128.368900 128.368900 131.641178 26 30 34 52 56 60 79 82 86 
159.687049 128.729541 107.850943 65 52 52 54.862745 131.372549 119.352941 128.888879 128.888879 128.137986 29 33 36 56 59 63 82 86 90 
162.222431 128.559997 109.649681 145 115 111 133.460000 132.810000 112.550000 128.854773 128.854773 127.285018 28 32 36 55 59 62 100 93 89 
181.689332 128.157016 112.807567 54 46 42 53.274510 129.000000 122.784314 126.420417 126.420417 131.694434 27 35 35 73 69 61 100 96 92 
181.615999 126.994785 113.490539 58 46 46 49.352941 131.274510 120.176471 128.842957 128.842957 129.768320 35 38 42 65 69 69 8 12 17 
174.104504 127.960550 110.686500 42 34 42 38.092593 132.888889 125.351852 129.621593 129.621593 131.859322 30 34 42 57 63 69 4 8 15 
168.828679 127.947846 109.958422 60 49 49 56.315789 131.421053 120.982456 129.183365 129.183365 132.852087 38 41 49 64 71 75 11 15 22 
178.435011 127.852247 112.540145 61 53 49 61.683333 128.133333 122.150000 127.961169 127.961169 125.919675 57 55 53 105 93 85 22 24 26 
154.978166 129.024199 109.229619 45 41 45 44.912281 131.421053 125.543860 127.869030 127.869030 128.744165 52 54 56 79 82 82 109 112 112 
167.642221 128.617190 112.175740 61 49 53 50.438596 131.298246 122.228070 128.874408 128.874408 126.926804 38 42 46 2 8 15 65 69 72 
151.605479 129.542403 108.320843 46 38 44 53.403509 132.052632 124.561404 129.003540 129.003540 127.630851 38 42 46 65 69 72 103 107 107 
172.320798 128.898392 110.145636 50 39 35 41.037037 130.296296 119.555556 127.581342 127.581342 125.979275 31 35 35 70 66 62 6 4 8 
173.364184 127.378671 112.266606 43 31 39 41.719298 133.210526 121.596491 128.760610 128.760610 127.492899 35 39 43 62 66 70 8 4 12 
166.815383 126.384134 110.571816 58 50 50 56.425926 130.296296 123.407407 127.808828 127.808828 125.858312 73 69 65 35 39 39 99 95 91 
171.295561 126.988634 113.146362 41 38 38 44.627451 129.313725 124.549020 127.650538 127.650538 133.667546 19 30 34 52 60 60 82 90 86 
177.040655 126.827086 112.939952 45 38 43 48.055556 132.259259 122.925926 128.990832 128.990832 128.316487 45 49 53 72 76 79 15 19 26 
163.902604 126.940174 110.126458 45 38 38 40.350877 129.877193 124.017544 128.588603 128.588603 131.076386 34 38 42 4 9 15 60 64 68 
159.600525 126.395999 109.982964 54 51 54 55.684211 131.118421 126.578947 129.304706 129.304706 129.992588 34 43 51 60 69 76 9 14 25 
176.818640 124.729443 111.555190 52 45 47 52.666667 130.733333 124.483333 128.415175 128.415175 128.909652 41 45 48 67 71 74 7 11 19 
158.590361 125.501806 110.590187 49 42 45 44.142857 131.809524 122.880952 129.759127 129.759127 130.990669 30 34 42 60 64 68 94 98 98 
171.339927 124.898632 110.614909 52 45 45 56.842105 130.513158 123.513158 128.572005 128.572005 129.184003 34 38 41 60 64 68 105 101 98 
169.043884 126.756502 109.515334 58 47 43 50.157895 130.039474 119.881579 129.196696 129.196696 124.510958 47 39 39 82 70 64 21 14 12 
161.659057 127.676156 107.286370 59 46 44 55.222222 131.296296 119.611111 128.868336 128.868336 131.533707 44 48 52 74 81 81 107 111 111 
175.236993 125.399108 111.562521 59 52 52 51.966667 130.133333 122.350000 127.919657 127.919657 126.913498 42 44 44 78 74 70 133 111 96 
172.623221 126.219040 108.247974 46 38 42 40.228070 131.614035 123.789474 129.181105 129.181105 132.503874 23 29 34 49 57 61 80 84 88 
170.457365 125.790122 108.820193 81 64 54 68.381579 129.315789 116.289474 128.765884 128.765884 130.520831 35 39 42 66 70 70 8 12 17 
171.011972 125.118784 110.099083 66 53 49 55.666667 129.847222 119.916667 129.151950 129.151950 130.341997 28 32 36 66 62 62 93 89 89 
168.869323 124.775389 110.730166 58 48 50 50.625000 130.805556 123.152778 128.447313 128.447313 129.305614 35 39 43 61 65 69 91 95 95 
173.117149 126.157030 110.474157 54 39 39 50.973684 131.907895 118.631579 128.234815 128.234815 127.228745 31 35 39 73 70 66 100 97 93 
175.047918 126.253671 110.798325 65 54 54 71.342105 130.565789 121.828947 128.516478 128.516478 127.871660 35 39 43 61 65 69 6 9 17 
157.296980 127.429100 105.087127 75 64 60 64.986842 130.381579 120.368421 129.071433 129.071433 131.082662 34 38 41 60 64 68 4 8 15 
163.917191 125.919438 109.799036 74 63 59 67.416667 129.216667 120.633333 128.374473 128.374473 126.090987 37 41 44 78 74 70 118 107 96 
156.614521 127.252141 108.169237 52 45 49 48.947368 131.263158 124.592105 129.396206 129.396206 132.618592 38 41 49 64 71 75 11 15 22 
176.609573 126.272512 111.255200 64 52 52 59.412698 131.015873 121.968254 129.000670 129.000670 129.173970 45 49 52 71 75 79 15 19 26 
170.671890 126.556471 110.201219 52 41 45 45.981481 131.592593 121.944444 130.329880 130.329880 132.292167 30 34 41 56 60 68 86 94 98 
167.488352 127.496678 108.977941 68 55 53 80.421053 130.355263 123.210526 129.584838 129.584838 131.558086 28 32 40 59 62 66 85 89 93 
169.838141 125.776674 110.926827 60 45 45 58.981481 131.796296 118.796296 129.770439 129.770439 131.284013 30 34 41 56 60 68 131 139 142 
162.530300 127.355604 110.366252 47 43 47 46.968254 130.825397 125.634921 128.784748 128.784748 129.796081 36 40 43 2 9 17 62 66 70 
144.097381 127.153522 106.799681 56 49 49 55.565789 129.776316 122.460526 128.205445 128.205445 129.848930 49 52 56 22 26 30 75 79 82 
159.470404 127.174460 109.419602 52 45 45 49.925000 130.275000 123.587500 128.175737 128.175737 128.238739 45 47 49 82 79 75 109 105 105 
143.386329 128.642717 106.780465 64 52 52 53.754386 130.736842 121.982456 128.324288 128.324288 131.955905 34 41 45 64 68 71 8 11 19 
141.057420 128.558684 106.594827 45 41 45 39.039474 130.828947 127.184211 128.979724 128.979724 132.378638 26 34 41 60 64 68 86 94 98 
161.671887 129.031965 109.529638 62 51 55 51.537500 133.112500 120.675000 129.034280 129.034280 129.974985 35 39 43 62 66 70 10 8 16 
161.304587 127.860598 108.345608 56 45 45 55.794118 131.294118 120.882353 129.898505 129.898505 132.235052 34 38 45 60 64 71 8 11 19 
162.114195 127.998314 110.069027 51 43 43 56.662500 131.262500 122.537500 129.135363 129.135363 133.332720 25 32 40 55 62 66 85 96 100 
164.847599 127.216923 110.436263 111 100 108 95.026316 133.368421 125.434211 128.564085 128.564085 128.054343 40 43 47 66 70 74 111 108 100 
187.149258 127.641260 114.560255 48 38 44 43.944444 132.314815 123.055556 130.188121 130.188121 128.635738 34 36 42 61 63 69 88 89 95 
129.959081 128.101143 105.594683 31 31 39 66.000000 130.807018 129.614035 129.033579 129.033579 131.046670 17 24 31 64 61 57 94 90 86 
111.068970 129.248675 104.826826 45 34 34 32.740741 131.462963 121.037037 129.445205 129.445205 124.988268 49 41 41 82 71 68 8 11 15 
129.109115 128.661740 103.422319 34 22 22 16.050000 131.800000 121.100000 127.471578 127.471578 128.866745 15 19 22 49 52 52 75 79 79 
111.086167 129.018218 104.081269 45 34 34 81.712500 129.000000 125.300000 127.235894 127.235894 128.596242 26 30 30 53 57 57 81 91 83 
132.324550 128.354526 107.406014 37 26 22 23.298246 129.631579 120.789474 126.438242 126.438242 129.189687 18 22 22 59 55 48 89 96 96 
114.541175 127.576663 108.445651 11 8 15 16.712500 130.587500 126.375000 126.183461 126.183461 129.030934 26 30 30 52 60 56 79 86 82 
121.984077 127.363493 105.574827 56 41 32 71.183333 128.183333 119.516667 128.535172 128.535172 131.281426 34 38 41 60 64 68 222 92 93 
136.264704 128.173425 104.895394 79 68 56 97.596491 128.210526 124.087719 127.840048 127.840048 127.781369 22 26 30 64 60 56 90 86 82 
115.058026 128.536833 104.838878 19 15 19 46.458333 131.583333 128.486111 128.269937 128.269937 128.224205 35 38 42 0 4 12 61 65 69 
115.810583 128.914025 105.459061 23 27 32 71.929825 128.035088 131.666667 128.040965 128.040965 129.530504 38 42 42 72 70 69 8 11 15 
119.415192 129.116167 108.906397 46 34 34 52.697368 130.697368 121.236842 129.109010 129.109010 128.115195 23 27 30 61 59 57 88 86 84 
123.908696 128.051877 107.919612 19 17 27 55.112500 131.375000 130.450000 129.922890 129.922890 129.530316 42 46 53 15 19 23 69 72 80 
143.847174 127.654695 105.057877 57 42 34 43.150000 130.537500 118.562500 128.431280 128.431280 128.169055 23 27 30 49 53 57 76 80 84 
131.567861 127.407768 106.070980 26 22 30 23.859649 131.701754 127.035088 128.687010 128.687010 127.735845 26 30 34 56 60 60 90 88 86 
133.945590 127.450862 106.791914 57 42 38 65.703704 129.296296 120.037037 130.933947 130.933947 127.845847 8 11 19 42 38 46 76 72 72 
125.434937 127.869705 108.087274 74 59 52 89.365079 130.063492 120.857143 129.671309 129.671309 127.833098 33 37 44 65 67 70 4 11 18 
