skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
174.974319 125.339476 110.918871 62 47 43 60.861111 130.222222 116.916667 129.075700 129.075700 131.182245 39 43 47 6 9 17 66 69 73 
175.559274 127.331923 109.878298 70 51 47 52.372549 131.549020 115.764706 129.390840 129.390840 127.003031 47 43 43 6 9 17 74 70 70 
162.513137 128.526988 109.411374 39 35 39 37.675000 129.937500 126.075000 128.053474 128.053474 130.635818 24 32 35 50 58 61 76 84 87 
176.466552 126.413404 108.656202 49 38 41 38.791667 132.236111 121.819444 130.616790 130.616790 131.152672 22 26 34 49 52 60 79 82 86 
173.520636 127.893969 111.919884 52 41 41 40.986111 130.805556 122.361111 128.594533 128.594533 128.131977 30 34 38 56 60 64 124 101 90 
167.467042 126.457580 111.529707 69 46 42 52.416667 131.027778 115.638889 128.467905 128.467905 130.336137 27 30 34 53 57 61 80 88 88 
179.127802 129.032553 110.920832 42 30 30 32.611111 130.925926 119.481481 128.598701 128.598701 130.252213 8 11 15 34 38 42 61 65 67 
145.960726 129.438782 105.096707 64 49 49 48.250000 131.684211 118.065789 129.439940 129.439940 130.939704 0 11 17 38 41 45 64 68 71 
140.363039 129.175903 107.391014 64 49 41 49.666667 129.902778 117.902778 129.164481 129.164481 126.760488 30 34 38 60 64 68 90 94 98 
149.321947 127.458606 109.292209 41 38 41 37.763889 131.569444 126.361111 128.510439 128.510439 124.708729 41 38 38 75 68 64 101 98 94 
144.598092 129.272057 105.388470 38 34 38 35.315789 130.565789 126.197368 128.342433 128.342433 131.612985 26 30 34 52 56 60 79 82 86 
159.687049 128.729541 107.850943 52 36 36 42.687500 131.729167 118.187500 128.827569 128.827569 127.122725 29 33 36 56 59 63 82 86 90 
162.222431 128.559997 109.649681 53 43 43 122.652632 131.021053 121.589474 128.717455 128.717455 126.715916 28 32 36 55 59 62 108 96 89 
181.689332 128.157016 112.807567 42 38 38 43.176471 128.882353 124.882353 126.411662 126.411662 131.215491 27 35 35 73 69 61 104 96 88 
181.615999 126.994785 113.490539 54 42 42 42.458333 131.437500 119.875000 128.662756 128.662756 129.203076 35 38 42 65 69 69 92 96 96 
174.104504 127.960550 110.686500 30 27 34 30.352941 132.666667 125.901961 129.553014 129.553014 131.669642 30 34 42 57 65 69 4 8 15 
168.828679 127.947846 109.958422 49 41 41 47.537037 130.759259 121.259259 129.136147 129.136147 132.867138 38 41 49 64 71 75 11 15 22 
178.435011 127.852247 112.540145 73 65 57 60.105263 127.947368 121.403509 128.020249 128.020249 126.281380 57 55 53 105 93 85 22 24 26 
154.978166 129.024199 109.229619 41 38 41 40.018519 130.925926 126.240741 127.924995 127.924995 128.929934 52 54 56 79 84 86 22 26 30 
167.642221 128.617190 112.175740 42 34 38 40.500000 131.981481 122.925926 128.931840 128.931840 127.605840 38 42 46 2 8 15 65 69 72 
151.605479 129.542403 108.320843 38 30 38 42.722222 132.537037 124.759259 129.026795 129.026795 127.634008 38 42 46 65 69 72 95 99 99 
172.320798 128.898392 110.145636 50 39 35 37.481481 129.851852 121.000000 127.456072 127.456072 125.525977 31 35 35 70 66 62 6 4 8 
173.364184 127.378671 112.266606 49 39 43 35.796296 133.370370 122.537037 128.616991 128.616991 126.356152 35 39 43 97 82 70 8 4 12 
166.815383 126.384134 110.571816 47 41 47 47.450980 131.450980 124.470588 127.831774 127.831774 125.821469 73 69 65 35 39 39 99 95 91 
171.295561 126.988634 113.146362 34 34 36 35.916667 129.395833 127.166667 127.413512 127.413512 133.367362 19 30 34 52 60 60 82 94 90 
177.040655 126.827086 112.939952 34 30 38 38.803922 132.098039 125.470588 129.082910 129.082910 128.813351 45 49 53 72 76 79 15 19 26 
163.902604 126.940174 110.126458 34 30 34 35.796296 130.407407 125.796296 128.538416 128.538416 131.045650 34 38 42 0 8 15 60 64 68 
159.600525 126.395999 109.982964 54 51 54 53.430556 130.791667 126.250000 129.407792 129.407792 131.366450 34 43 51 60 69 76 9 14 25 
176.818640 124.729443 111.555190 45 41 45 44.105263 131.122807 126.140351 128.440153 128.440153 128.886572 41 45 48 67 71 74 7 11 19 
158.590361 125.501806 110.590187 45 38 42 40.462500 131.887500 123.462500 129.572719 129.572719 130.872539 30 34 42 60 64 68 87 94 94 
171.339927 124.898632 110.614909 52 45 45 44.694444 130.597222 122.777778 128.510158 128.510158 129.078305 34 38 41 60 64 68 109 101 94 
169.043884 126.756502 109.515334 58 43 39 43.875000 130.055556 118.611111 129.105383 129.105383 124.357715 39 35 35 78 66 62 105 97 93 
161.659057 127.676156 107.286370 52 43 44 49.111111 131.222222 121.111111 128.910542 128.910542 131.539505 44 48 52 70 74 78 103 107 107 
175.236993 125.399108 111.562521 41 37 39 44.649123 130.052632 124.421053 127.974998 127.974998 127.137269 42 44 44 78 74 70 15 11 18 
172.623221 126.219040 108.247974 38 34 38 38.055556 131.592593 125.148148 129.110759 129.110759 132.423231 23 29 34 49 57 61 84 91 91 
170.457365 125.790122 108.820193 81 66 58 62.000000 130.180556 115.625000 128.516198 128.516198 129.732978 35 39 42 66 70 70 93 100 100 
171.011972 125.118784 110.099083 51 40 40 44.352941 130.882353 119.897059 129.063939 129.063939 130.097781 28 32 36 66 62 62 96 93 89 
168.869323 124.775389 110.730166 58 47 47 47.944444 130.722222 122.388889 128.497574 128.497574 129.375421 35 39 43 61 65 69 91 95 95 
173.117149 126.157030 110.474157 54 39 39 39.527778 132.375000 119.527778 128.279888 128.279888 127.210974 31 35 39 73 70 66 127 116 104 
175.047918 126.253671 110.798325 69 54 50 59.722222 130.236111 119.166667 128.558140 128.558140 128.049551 35 39 43 61 65 69 6 9 17 
157.296980 127.429100 105.087127 56 45 41 53.680556 130.819444 119.833333 128.958913 128.958913 131.027411 34 38 41 60 64 68 90 94 94 
163.917191 125.919438 109.799036 63 50 48 60.087719 130.070175 119.877193 128.403837 128.403837 126.124062 37 41 44 78 74 70 103 100 96 
156.614521 127.252141 108.169237 41 38 41 41.611111 131.555556 125.611111 129.343519 129.343519 132.638485 38 41 49 64 71 75 11 15 22 
176.609573 126.272512 111.255200 60 52 52 53.633333 130.650000 122.016667 129.084749 129.084749 129.633826 45 49 52 71 75 79 15 19 26 
170.671890 126.556471 110.201219 45 38 41 41.960784 131.823529 124.333333 130.273906 130.273906 132.295970 30 34 41 56 60 68 82 90 94 
167.488352 127.496678 108.977941 66 55 55 60.583333 131.166667 122.111111 129.541421 129.541421 131.575008 28 32 40 59 62 66 85 93 96 
169.838141 125.776674 110.926827 54 41 41 52.098039 131.901961 119.156863 129.731260 129.731260 131.352657 30 34 41 56 60 68 94 101 105 
162.530300 127.355604 110.366252 43 40 43 44.066667 130.166667 126.783333 128.744223 128.744223 129.667213 36 40 43 2 9 17 62 66 70 
144.097381 127.153522 106.799681 52 45 45 48.111111 129.513889 123.277778 128.210810 128.210810 129.834986 49 52 56 22 26 30 75 79 82 
159.470404 127.174460 109.419602 49 41 41 44.828947 129.921053 123.605263 128.189002 128.189002 128.241069 45 47 49 82 79 75 109 105 105 
143.386329 128.642717 106.780465 49 41 41 49.703704 130.555556 122.370370 128.256927 128.256927 131.902569 34 41 45 64 68 71 8 11 19 
141.057420 128.558684 106.594827 26 26 38 36.152778 132.069444 128.680556 128.925708 128.925708 132.290945 26 34 41 60 64 68 86 94 98 
161.671887 129.031965 109.529638 55 39 43 41.671053 132.539474 119.118421 128.941403 128.941403 129.166457 35 39 43 90 78 70 117 105 95 
161.304587 127.860598 108.345608 56 49 49 50.882353 130.500000 122.911765 129.843871 129.843871 132.174344 34 38 45 60 64 71 90 98 101 
162.114195 127.998314 110.069027 55 47 47 49.868421 130.565789 122.578947 129.091459 129.091459 133.102363 25 32 40 55 62 66 85 96 100 
164.847599 127.216923 110.436263 40 36 47 44.458333 133.611111 127.875000 128.578971 128.578971 128.103998 40 43 47 66 70 74 111 108 100 
187.149258 127.641260 114.560255 46 38 42 40.098039 132.274510 123.431373 130.085047 130.085047 128.481466 34 36 42 61 63 69 91 95 95 
129.959081 128.101143 105.594683 31 31 39 32.222222 131.592593 130.018519 128.627827 128.627827 128.973237 17 24 31 64 61 57 94 90 83 
111.068970 129.248675 104.826826 49 34 34 32.686275 131.372549 119.392157 129.369123 129.369123 124.859378 49 41 41 90 75 68 8 11 15 
129.109115 128.661740 103.422319 15 8 15 23.513158 131.197368 125.986842 127.286278 127.286278 128.944239 15 19 22 49 52 52 75 82 79 
111.086167 129.018218 104.081269 42 30 30 31.881579 130.907895 120.039474 127.207548 127.207548 126.130637 26 30 30 106 79 60 136 149 138 
132.324550 128.354526 107.406014 30 22 22 20.148148 130.425926 122.333333 126.234415 126.234415 128.309735 18 22 22 59 55 48 85 92 89 
114.541175 127.576663 108.445651 11 8 15 7.289474 131.368421 127.105263 126.032273 126.032273 127.870458 26 30 30 52 60 56 90 94 86 
121.984077 127.363493 105.574827 56 41 34 48.736842 129.210526 116.701754 128.468547 128.468547 131.236522 34 38 41 60 64 68 90 98 94 
136.264704 128.173425 104.895394 34 26 30 32.351852 130.425926 124.351852 127.632744 127.632744 127.215428 22 26 30 64 60 56 94 90 82 
115.058026 128.536833 104.838878 19 12 19 12.625000 131.361111 125.541667 128.079636 128.079636 128.086101 35 38 42 0 4 12 69 73 73 
115.810583 128.914025 105.459061 23 27 30 29.907407 130.240741 130.740741 127.994542 127.994542 129.335304 38 42 42 88 76 69 8 11 15 
119.415192 129.116167 108.906397 38 27 27 41.375000 130.916667 122.944444 128.456143 128.456143 127.079990 23 27 30 61 59 57 99 95 88 
123.908696 128.051877 107.919612 23 19 27 21.105263 133.328947 127.105263 129.836417 129.836417 129.500507 42 46 53 15 19 23 69 72 80 
143.847174 127.654695 105.057877 53 36 30 36.960526 130.736842 116.473684 128.227495 128.227495 127.757289 23 27 30 49 53 57 95 91 84 
131.567861 127.407768 106.070980 26 22 30 19.759259 131.740741 126.796296 128.438451 128.438451 126.539889 26 30 34 56 60 60 82 90 86 
133.945590 127.450862 106.791914 65 48 42 52.411765 129.901961 117.529412 130.693565 130.693565 127.473920 8 11 19 42 38 46 76 72 72 
