ColorCorrectedImages	Xandra 
0	3
1	3
2	0
3	3
4	3
5	3/2
6	3
7	3
8	3
9	0
10	0
11	3
12	0
13	0
14	3
15	3
16	3
17	2
18	3
19	0
20	1
21	0
22	3
23	3
24	3
25	3
26	3
27	3
28	3
29	3
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	0
51	0
52	0
53	3
54	0
55	3
56	0
57	3
58	3
59	0
60	0
61	0
62	3
63	3
64	0
65	0
66	0
67	0
68	3
69	3
70	3
71	3
72	3
73	0
74	0
75	0
76	0
77	3
78	3
79	3
80	3
81	3
82	0
83	0
84	0
85	3
86	0
87	3
88	0
89	3
90	0
91	0
92	0
93	0
94	3
95	3
96	3
97	0
98	0
99	3
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	1
109	3
110	0
111	0
112	0
113	3
114	0
115	0
116	2
117	3
118	0
119	1
120	3
121	3
122	3
123	0
124	0
125	0
126	3
127	3
128	0
129	0
130	0
131	3
132	0
133	3
134	0
135	1
136	0
137	0
138	3
139	3
140	3
141	2
142	0
143	0
144	0
145	2
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	3
155	0
156	0
157	0
158	0
159	3
160	3
161	0
162	-
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	3
174	0
175	0
176	0
177	0
178	0
179	2
180	1
181	1
182	0
183	0
184	0
185	0
186	1
187	1
188	3
189	3
190	2
191	2
192	3
193	3
194	2
195	3
196	2
197	3
198	2
199	2
200	3
201	3
202	3
203	2
204	2
205	0
206	2
207	2
208	2
209	1
210	0
211	0
212	0
213	1
214	0
215	0
216	2
217	1
218	1
219	1
220	1
221	2
222	0
223	1
224	0
225	0
226	0
227	1
228	2
229	2
230	2
231	1
232	1
233	0
234	0
235	1
236	1
237	2
238	3
239	1
240	2
241	0
242	0
243	1
244	1
245	0
246	0
247	1
248	0
249	3
250	3
251	0
252	1
253	*
254	0
255	1
256	1
257	0
258	1
259	1
260	2
261	1
262	1
263	1
264	1
265	0
266	0
267	0
268	0
269	1
270	0
271	0
272	2
273	1
274	0
275	1
276	0
277	0
278	1
279	0
280	1
281	1
282	0
283	0
284	0
285	1
286	0
287	1
288	1
289	2
290	1
291	1
292	1
293	0
294	0
295	0
296	0
297	1
298	1
299	1
300	0
301	1
302	0
303	3
304	1
305	1
306	1
	
